work_id,author_id,author_rank,is_corresponding,std_points
W0056,金红梅,3,0,1
W0056,廉丽华,4,0,1
W0056,顾晓红,5,0,1
W0056,蒋涛,6,0,1
W0056,高兴,7,0,1
W0056,金慧,8,0,1
W0056,陈杰,9,0,1
W0057,袁林,1,0,1
W0057,茅佳敏,2,0,1
W0057,杨丹彤,3,0,1
W0058,徐培培,1,0,1
W0058,沙留强,2,0,1
W0058,王书兰,3,0,1
W0058,韩颖颖,4,0,1
W0058,吴琼,5,0,1
W0058,米玉芳,6,0,1
W0059,魏楚楚,1,0,1
W0059,韩亚蓉,2,0,1
W0059,杨晓莹,3,0,1
W0059,冯雪菲,4,0,1
W0059,芮向依,5,0,1
W0059,王宝华,6,0,1
W0060,蒋正东,1,0,1
W0060,钟恩德,2,0,1
W0060,段伟平,3,0,1
W0060,许滋宁,4,0,1
W0060,何智敏,5,0,1
W0061,焦曼,1,0,1
W0061,孙华闽,2,0,1
W0061,谭维维,3,0,1
W0062,陈峰,1,0,1
W0062,钟恩德,2,0,1
W0062,明小天,3,0,1
W0062,张颖茜,4,0,1
W0062,张婧婧,5,0,1
W0063,杨娟,1,0,1
W0063,钟恩德,2,0,1
W0063,程钰兰,3,0,1
W0063,张萍,4,0,1
W0063,程晓宏,5,0,1
W0064,施逸岚,1,0,1
W0064,王金鑫,2,0,1
W0064,叶青华,3,0,1
W0064,仇倩颖,4,0,1
W0064,杨清华,5,0,1
W0065,杨建军,1,0,1
W0065,陆春花,2,0,1
W0065,陈颖,3,0,1
W0065,高海萍,4,0,1
W0065,周萍,5,0,1
W0066,刘毛毛,1,0,1
W0066,吴冒璇,2,0,1
W0066,张之海,3,0,1
W0066,侯晓艳,4,0,1
W0067,黄捷,1,0,1
W0067,林玲,2,0,1
W0068,余雯,1,0,1
W0068,陈彬,2,0,1
W0068,周师颖,3,0,1
W0068,章炘嵘,4,0,1
W0068,季霄雷,5,0,1
W0068,帅小博,6,0,1
W0069,陈诗瑶,1,0,1
W0069,孙怡华,2,0,1
W0069,魏叶,3,0,1
W0069,陈璐,4,0,1
W0069,李莉,5,0,1
W0069,季霄雷,6,0,1
W0070,吴琼,1,0,1
W0070,楚楚,2,0,1
W0070,洪友梅,3,0,1
W0070,张润琛,4,0,1
W0070,徐红,5,0,1
W0070,林玲,6,0,1
W0071,吴琼,1,0,1
W0071,陆庆燕,2,0,1
W0071,林玲,3,0,1
W0072,顾心逸,1,0,1
W0072,程钰兰,2,0,1
W0072,平文卉,3,0,1
W0072,张茹月,4,0,1
W0072,程晓宏,5,0,1
W0073,吴亚云,1,0,1
W0073,虞莹,2,0,1
W0073,孙怡华,3,0,1
W0073,王诗芳,4,0,1
W0074,陈睿,1,0,1
W0074,邝惠宁,2,0,1
W0074,俞盛楠,3,0,1
W0074,黄建萍,4,0,1
W0074,安娜,5,0,1
W0074,孙华闽,6,0,1
W0075,郭新颖,1,0,1
W0075,陈峰,2,0,1
W0075,张卫兵,3,0,1
W0076,沙磊,1,0,1
W0076,刘海琴,2,0,1
W0076,宋琳萍,3,0,1
W0076,韩磊,4,0,1
W0077,翟云鹏,1,0,1
W0077,陈宇洁,2,0,1
W0077,于文斌,3,0,1
W0077,苏婧,4,0,1
W0077,李媛,5,0,1
W0077,袁建明,6,0,1
W0078,肖颖衡,1,0,1
W0078,陆春花,2,0,1
W0078,钱娟,3,0,1
W0078,陈颖,4,0,1
W0078,谷一硕,5,0,1
W0078,杨泽云,6,0,1
W0078,丁道正,7,0,1
W0078,李丽萍,8,0,1
W0078,朱晓俊,9,0,1
W0079,张颖茜,1,0,1
W0079,于文斌,2,0,1
W0079,杨娟,3,0,1
W0079,张璐璐,4,0,1
W0080,鲍超,1,0,1
W0080,魏叶,2,0,1
W0080,苗峻峰,3,0,1
W0080,张吴宏,4,0,1
W0080,赵恩慧,5,0,1
W0080,刘珍珍,6,0,1
W0081,戴丽娟,1,0,1
W0081,安娜,2,0,1
W0081,黄建萍,3,0,1
W0081,陈睿,4,0,1
W0081,任庆新,5,0,1
W0081,朱倩男,6,0,1
W0081,孙华闽,7,0,1
W0081,卫冬烨,8,0,1
W0081,吴越,9,0,1
W0082,纪桂勤,1,0,1
W0082,李中建,2,0,1
W0082,陶长余,3,0,1
W0083,陈志强,1,0,1
W0083,姚珅,2,0,1
W0083,季颖,3,0,1
W0083,张之海,4,0,1
W0084,陈璐,1,0,1
W0084,季霄雷,2,0,1
W0084,陈雨佳,3,0,1
W0084,梁如悦,4,0,1
W0084,王瑶,5,0,1
W0085,尹仕伟,1,0,1
W0085,林玲,2,0,1
W0085,任彦霖,3,0,1
W0085,陆春花,4,0,1
W0085,茅春辉,5,0,1
W0086,顾婷,1,0,1
W0086,鞠佩峰,2,0,1
W0086,金红梅,3,0,1
W0086,蒋涛,4,0,1
W0086,顾晓红,5,0,1
W0087,芮向依,1,0,1
W0087,冯雪菲,2,0,1
W0087,魏楚楚,3,0,1
W0087,韩亚蓉,4,0,1
W0087,王宁,5,0,1
W0087,王宝华,6,0,1
W0088,徐秦,1,0,1
W0088,张伟,2,0,1
W0088,田微微,3,0,1
W0088,秦铖,4,0,1
W0088,季星培,5,0,1
W0088,李媛,6,0,1
W0089,张颖茜,1,0,1
W0089,陈峰,2,0,1
W0089,张璐璐,3,0,1
W0089,于文斌,4,0,1
W0089,戴志英,5,0,1
W0089,张茹月,6,0,1
W0089,杨娟,7,0,1
W0090,刘肖朦,1,0,1
W0090,周绍娟,2,0,1
W0090,邵小红,3,0,1
W0090,徐文平,4,0,1
W0090,宦峰,5,0,1
W0090,朱向阳,6,0,1
W0091,张林,1,0,1
W0091,李志安,2,0,1
W0091,谷一硕,3,0,1
W0091,钱娟,4,0,1
W0091,陆春花,5,0,1
W0091,乔健健,6,0,1
W0091,钱勇,7,0,1
W0091,杨泽云,8,0,1
W0091,朱晓俊,9,0,1
W0092,蒋叶,1,0,1
W0093,刘海琴,1,0,1
W0093,宋琳萍,2,0,1
W0093,时正贤,3,0,1
W0093,蒋丽,4,0,1
W0094,周小毅,1,0,1
W0094,刘凯,2,0,1
W0094,朱平,3,0,1
W0094,夏宏丽,4,0,1
W0094,章施静,5,0,1
W0094,马平,6,0,1
W0095,陆荣荣,1,0,1
W0095,魏叶,2,0,1
W0095,戴垚垚,3,0,1
W0095,鲍超,4,0,1
W0095,刘巧,5,0,1
W0096,黎源,1,0,1
W0096,钟恩德,2,0,1
W0096,曹亚强,3,0,1
W0096,孙程,4,0,1
W0096,许滋宁,5,0,1
W0097,姚玮,1,0,1
W0098,张燕红,1,0,1
W0098,马云,2,0,1
W0099,夏宏丽,1,0,1
W0099,周小毅,2,0,1
W0099,朱平,3,0,1
W0099,马平,4,0,1
W0099,庄勋,5,0,1
W0099,章施静,6,0,1
W0099,刘凯,7,0,1
W0100,高兴,1,0,1
W0100,陈杰,2,0,1
W0100,金红梅,3,0,1
W0100,廉丽华,4,0,1
W0101,谢颖珏,1,0,1
W0101,黄飞飞,2,0,1
W0101,孙华闽,3,0,1
W0101,杨仁东,4,0,1
W0101,张梦寒,5,0,1
W0101,滕臣刚,6,0,1
W0101,王波,7,0,1
W0101,郑艳敏,8,0,1
W0102,秦铖,1,0,1
W0102,梁如悦,2,0,1
W0102,廉丽华,3,0,1
W0102,魏叶,4,0,1
W0102,季霄雷,5,0,1
W0103,顾心逸,1,0,1
W0103,顾俊,2,0,1
W0103,程晓宏,3,0,1
W0104,高兴,1,0,1
W0104,金红梅,2,0,1
W0104,廉丽华,3,0,1
W0104,陈杰,4,0,1
W0105,孙晴,1,0,1
W0105,王小平,2,0,1
W0105,符剑,3,0,1
W0105,陈骥,4,0,1
W0105,杨小梅,5,0,1
W0106,徐军,1,0,1
W0106,陈海珍,2,0,1
W0106,陆玲玲,3,0,1
W0106,蔡波,4,0,1
W0106,徐红,5,0,1
W0106,高月霞,6,0,1
W0106,陈建国,7,0,1
W0107,杨娟,1,0,1
W0107,张卫兵,2,0,1
W0107,平文卉,3,0,1
W0107,于文斌,4,0,1
W0107,程晓宏,5,0,1
W0108,罗勇华,1,0,1
W0108,顾明生,2,0,1
W0108,刘展,3,0,1
W0108,陈芸,4,0,1
